Valence, Arousal
0.3956079, -0.6918572
0.3995514, -0.6817695
0.399983, -0.6805325
0.399983, -0.6805325
0.4001742, -0.6799482
0.4003552, -0.6793808
0.4006569, -0.6783362
0.4008102, -0.6779187
0.4009478, -0.6775858
0.4012191, -0.677427
0.4013654, -0.6777961
0.4016623, -0.6786396
0.4018069, -0.6790121
0.40194, -0.6792318
0.4020444, -0.6794645
0.4020541, -0.6788008
0.402003, -0.6781685
0.4018127, -0.6763859
0.4016118, -0.6731352
0.4014972, -0.6714821
0.4013855, -0.6695526
0.4012684, -0.666913
0.401012, -0.6625001
0.4008084, -0.6598448
0.4004477, -0.6564695
0.3999304, -0.6525334
0.3978241, -0.6397924
0.3964242, -0.6311514
0.3952488, -0.6229052
0.3913992, -0.6028356
0.3893332, -0.5939564
0.3874132, -0.5874184
0.3860994, -0.581656
0.3848965, -0.5738388
0.3848553, -0.5713493
0.3851444, -0.5694458
0.3857166, -0.5670289
0.3861486, -0.5666921
0.3864144, -0.5665179
0.3864922, -0.5662627
0.3864581, -0.566103
0.3863313, -0.5661054
0.3868589, -0.5665355
0.3933957, -0.5676045
0.4001307, -0.5690197
0.4082812, -0.5701568
0.4190656, -0.5710884
0.4387652, -0.5724574
0.4508574, -0.5714483
0.461652, -0.5699342
0.4814522, -0.5623805
0.4889931, -0.5541173
0.4963382, -0.5423474
0.5043167, -0.5290688
0.5116826, -0.5184374
0.5290756, -0.4986805
0.5355541, -0.4920672
0.5433929, -0.4787462
0.5458218, -0.4747461
0.5478245, -0.4719063
0.5495054, -0.4697702
0.5521424, -0.4669161
0.5531828, -0.4639659
0.5540897, -0.4575779
0.5556356, -0.4150135
0.5559687, -0.3821092
0.5562722, -0.2908558
0.5503391, -0.1526838
0.5195791, -0.07970063
0.4792365, -0.003394491
0.4341235, 0.06979524
0.3254491, 0.2202055
0.2654091, 0.2831976
0.2091189, 0.3448372
0.08038195, 0.4441835
0.005283673, 0.4848028
-0.0712319, 0.5188072
-0.1995852, 0.5760349
-0.2538964, 0.5862318
-0.2953867, 0.5981238
-0.3363628, 0.6054083
-0.3553572, 0.6050716
-0.367709, 0.6056172
-0.3697408, 0.6051959
-0.3638633, 0.6010255
-0.3638633, 0.6010255
-0.289671, 0.538972
-0.2344464, 0.4806471
-0.08296687, 0.320462
0.01649939, 0.2286941
0.1135215, 0.1371166
0.3371621, -0.05745609
0.4198149, -0.1424575
0.4854266, -0.2174884
0.5435595, -0.2935593
0.6160027, -0.4204111
0.6317811, -0.4544297
0.646557, -0.4848103
0.6791532, -0.4953984
0.6882674, -0.4956909
0.7109551, -0.495311
0.7240191, -0.4851622
0.7401485, -0.3913961
0.7213631, -0.3032416
0.6775096, -0.181769
0.4994356, 0.06239207
